"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/09/2019","AQS","240051007","3","7.4","ug/m3 LC","31","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/10/2019","AQS","240051007","3","3.7","ug/m3 LC","15","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/11/2019","AQS","240051007","3","3.3","ug/m3 LC","14","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/12/2019","AQS","240051007","3","5.2","ug/m3 LC","22","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/13/2019","AQS","240051007","3","2.6","ug/m3 LC","11","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/14/2019","AQS","240051007","3","4.5","ug/m3 LC","19","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/15/2019","AQS","240051007","3","8.4","ug/m3 LC","35","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/16/2019","AQS","240051007","3","11.9","ug/m3 LC","50","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/17/2019","AQS","240051007","3","5.9","ug/m3 LC","25","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/18/2019","AQS","240051007","3","6.8","ug/m3 LC","28","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/19/2019","AQS","240051007","3","6","ug/m3 LC","25","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/20/2019","AQS","240051007","3","6.7","ug/m3 LC","28","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/21/2019","AQS","240051007","3","5","ug/m3 LC","21","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/22/2019","AQS","240051007","3","3.7","ug/m3 LC","15","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/23/2019","AQS","240051007","3","5.1","ug/m3 LC","21","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/24/2019","AQS","240051007","3","11.5","ug/m3 LC","48","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/25/2019","AQS","240051007","3","8.6","ug/m3 LC","36","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/26/2019","AQS","240051007","3","8","ug/m3 LC","33","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/27/2019","AQS","240051007","3","9.2","ug/m3 LC","38","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/28/2019","AQS","240051007","3","10.9","ug/m3 LC","45","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
